               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057636,            0.023554,            0.016984,             0.87842,             0.89827,             0.95332,             0.72378,            0.022576,           0.0056597,            0.002216,            0.070101,           0.0033221,           0.0033221
                   1,            0.040638,            0.013799,           0.0058548,             0.86598,             0.93722,             0.95368,             0.52732,            0.023423,           0.0049431,           0.0018098,            0.040088,           0.0066422,           0.0066422
                   2,            0.034941,            0.011943,           0.0057027,              0.6007,              0.7916,             0.85378,             0.59413,            0.021815,           0.0063085,            0.025905,            0.010062,           0.0099492,           0.0099492
                   3,            0.031469,            0.011071,           0.0054915,               0.979,             0.95947,             0.98355,             0.79207,            0.011976,           0.0042958,           0.0026325,           0.0099406,           0.0099406,           0.0099406
                   4,            0.027982,            0.010495,           0.0046404,             0.97778,             0.97281,             0.98307,             0.86896,            0.012452,           0.0043067,           0.0012412,           0.0099406,           0.0099406,           0.0099406
                   5,            0.024538,           0.0097959,           0.0041956,             0.94888,             0.92377,             0.97726,             0.85487,           0.0098829,           0.0041938,            0.003656,           0.0099208,           0.0099208,           0.0099208
                   6,            0.023546,           0.0094649,           0.0039903,             0.99601,             0.98425,             0.98797,             0.86389,            0.010235,           0.0036297,          0.00083224,            0.009901,            0.009901,            0.009901
                   7,            0.021947,           0.0091098,            0.003616,             0.99507,             0.98489,             0.98794,             0.87271,           0.0089578,           0.0037245,          0.00079842,           0.0098812,           0.0098812,           0.0098812
                   8,            0.020523,            0.008849,            0.003322,             0.99146,             0.98602,             0.99078,             0.88484,           0.0075554,           0.0035232,           0.0010842,           0.0098614,           0.0098614,           0.0098614
                   9,            0.020088,           0.0084116,           0.0027043,             0.99501,             0.96909,             0.98627,             0.86596,           0.0082465,           0.0038101,          0.00066104,           0.0098416,           0.0098416,           0.0098416
                  10,            0.019131,           0.0083366,            0.003039,             0.99521,              0.9759,             0.98788,             0.87891,           0.0083105,           0.0036808,          0.00081039,           0.0098218,           0.0098218,           0.0098218
                  11,             0.01892,           0.0078926,           0.0019303,             0.99052,             0.98471,             0.99019,              0.8925,           0.0077031,           0.0035635,          0.00082132,            0.009802,            0.009802,            0.009802
                  12,            0.018584,           0.0080457,           0.0028002,             0.99219,             0.97338,             0.98415,             0.88971,            0.007906,           0.0035498,           0.0011409,           0.0097822,           0.0097822,           0.0097822
                  13,            0.017361,           0.0079064,            0.002364,             0.99366,              0.9832,              0.9874,             0.88182,           0.0075866,           0.0033005,          0.00094943,           0.0097624,           0.0097624,           0.0097624
                  14,            0.017116,           0.0074836,            0.002701,             0.98685,             0.97439,             0.98967,             0.89927,           0.0072356,            0.003504,          0.00097174,           0.0097426,           0.0097426,           0.0097426
                  15,            0.016673,           0.0076187,           0.0020583,             0.99481,              0.9865,             0.98951,             0.90238,            0.007277,           0.0032915,          0.00060919,           0.0097228,           0.0097228,           0.0097228
                  16,            0.016402,           0.0075251,           0.0023531,             0.99659,             0.98232,             0.98998,             0.90173,           0.0070409,           0.0034333,          0.00073949,            0.009703,            0.009703,            0.009703
                  17,            0.015795,           0.0074357,           0.0021057,             0.99237,              0.9836,             0.98903,              0.8829,           0.0077592,           0.0033593,          0.00058604,           0.0096832,           0.0096832,           0.0096832
                  18,            0.015875,            0.007064,           0.0016158,             0.99129,             0.98444,             0.98695,             0.90061,           0.0067982,           0.0032209,          0.00085637,           0.0096634,           0.0096634,           0.0096634
                  19,            0.015327,           0.0073853,           0.0024824,             0.98426,             0.98215,             0.98906,             0.90205,           0.0073382,           0.0035022,            0.001178,           0.0096436,           0.0096436,           0.0096436
                  20,            0.015019,           0.0071606,           0.0014762,             0.99508,              0.9867,             0.98903,             0.91557,           0.0063595,           0.0030935,          0.00080928,           0.0096238,           0.0096238,           0.0096238
                  21,            0.015069,           0.0070701,           0.0020295,              0.9888,             0.98586,             0.98932,             0.91239,           0.0067118,           0.0033498,          0.00075941,            0.009604,            0.009604,            0.009604
                  22,            0.014746,           0.0070942,           0.0019731,             0.98904,             0.98874,             0.98945,             0.90334,            0.006884,           0.0029899,          0.00084613,           0.0095842,           0.0095842,           0.0095842
                  23,            0.014953,             0.00699,           0.0018846,             0.99036,             0.97449,             0.98715,             0.90408,            0.006245,           0.0034914,          0.00075185,           0.0095644,           0.0095644,           0.0095644
                  24,            0.014539,           0.0070108,           0.0019213,             0.99464,             0.98641,             0.98859,             0.89778,           0.0071228,           0.0032455,          0.00067602,           0.0095446,           0.0095446,           0.0095446
                  25,            0.014352,           0.0069702,           0.0018315,              0.9939,             0.98426,             0.99225,             0.91188,           0.0066815,           0.0032608,          0.00072711,           0.0095248,           0.0095248,           0.0095248
                  26,            0.013998,           0.0066759,           0.0013835,             0.99503,             0.98671,             0.98908,             0.90245,           0.0066122,            0.003235,          0.00072561,            0.009505,            0.009505,            0.009505
                  27,            0.013768,           0.0065288,           0.0016313,             0.99123,             0.98884,             0.98903,             0.91346,           0.0062264,           0.0032338,          0.00048411,           0.0094852,           0.0094852,           0.0094852
